id,col_15min,dist2coast,lat,lat_15min,lon,lon_15min,rivwth,row_15min,uparea
899,1283,7743.0,72.5079193115,72.625,140.974578857,140.875,10.0,69,1086718464.0
910,219,1935.0,72.529586792,72.375,-125.122917175,-125.125,26.0,70,7187730432.0
922,273,1937.0,72.280418396,72.375,-111.637916565,-111.625,10.0,70,2361960192.0
926,278,1936.0,72.4312515259,72.375,-110.297080994,-110.375,10.0,70,1041608064.0
927,280,0.0,72.4437484741,72.375,-109.81791687,-109.875,10.0,70,1034191552.0
929,285,0.0,72.3062515259,72.375,-108.611251831,-108.625,10.0,70,2062625536.0
932,290,5814.0,72.2454147339,72.375,-107.742919922,-107.375,10.0,70,1633241216.0
946,360,0.0,72.4187469482,72.375,-89.8470840454,-89.875,19.0,70,5539685376.0
950,380,1936.0,72.4595794678,72.375,-84.7629165649,-84.875,10.0,70,2084070784.0
990,1048,0.0,72.2670822144,72.375,82.1870880127,82.125,13.0,70,1451289600.0
997,1305,0.0,72.4404144287,72.375,146.392913818,146.375,16.0,70,6862069248.0
1000,1308,0.0,72.2929153442,72.375,147.025421143,147.125,67.0,70,28961544192.0
1005,1315,0.0,72.2587509155,72.375,148.936248779,148.875,10.0,70,1902335360.0
1006,217,3879.0,72.0787506104,72.125,-125.697914124,-125.625,10.0,71,2721085440.0
1015,289,2742.0,72.1012496948,72.125,-107.598747253,-107.625,10.0,71,1633241216.0
1017,299,4339.0,71.9537506104,72.125,-104.902084351,-105.125,10.0,71,1297018496.0
1019,317,1938.0,72.2112503052,72.125,-100.687080383,-100.625,10.0,71,1230978560.0
1040,395,0.0,72.095413208,72.125,-81.0170822144,-81.125,25.0,71,5145538560.0
1061,929,4337.0,72.0670852661,72.125,52.4354171753,52.375,10.0,71,1036401216.0
1062,932,6133.0,72.0729141235,72.125,52.4645843506,53.125,10.0,71,1036401216.0
1064,994,0.0,72.1220855713,72.125,68.654586792,68.625,10.0,71,1263343616.0
1065,995,0.0,72.0445861816,72.125,68.6320800781,68.875,10.0,71,1263343616.0
1075,1034,1940.0,71.9487457275,72.125,78.2462463379,78.625,14.0,71,1716007808.0
1079,1234,0.0,72.0629196167,72.125,128.743743896,128.625,2216.0,71,2.46653412966e+12
1084,1318,0.0,72.15625,72.125,149.54208374,149.625,10.0,71,1463572096.0
1086,220,5822.0,71.9579162598,71.875,-124.885414124,-124.875,10.0,72,1107159040.0
1095,300,3882.0,71.8945846558,71.875,-104.862083435,-104.875,10.0,72,1297018496.0
1100,327,1941.0,71.904586792,71.875,-98.2379150391,-98.125,10.0,72,1707398656.0
1106,359,0.0,71.9520797729,71.875,-90.0620803833,-90.125,10.0,72,1670794496.0
1112,380,1943.0,71.6929168701,71.875,-84.6537475586,-84.875,24.0,72,5012670976.0
1113,383,0.0,71.9712524414,71.875,-84.1662445068,-84.125,10.0,72,1189048704.0
1114,396,1941.0,71.8804168701,71.875,-80.9220809937,-80.875,10.0,72,1220035328.0
1116,403,0.0,71.9937515259,71.875,-79.1837463379,-79.125,10.0,72,1440161280.0
1134,927,3879.0,72.0487518311,71.875,52.3020858765,51.875,10.0,72,1036401216.0
1135,940,9898.0,71.905418396,71.875,55.1479187012,55.125,10.0,72,1130220160.0
1150,1032,2746.0,71.842918396,71.875,78.0262527466,78.125,14.0,72,1716007808.0
1151,1033,1941.0,71.8587493896,71.875,78.0970840454,78.375,14.0,72,1716007808.0
1152,1034,1941.0,71.8979187012,71.875,78.1870880127,78.625,14.0,72,1716007808.0
1155,1044,1941.0,71.8370819092,71.875,81.2445831299,81.125,13.0,72,1515981184.0
1160,1233,0.0,72.0429153442,71.875,128.680419922,128.375,2216.0,72,2.46653412966e+12
1165,1279,1941.0,71.8520812988,71.875,139.822921753,139.875,13.0,72,3609594112.0
1166,1316,0.0,71.7595825195,71.875,149.097915649,149.125,10.0,72,1858500608.0
1175,224,0.0,71.5504150391,71.625,-123.807914734,-123.875,10.0,73,1318509184.0
1185,258,3889.0,71.5495834351,71.625,-115.432914734,-115.375,10.0,73,1403243136.0
1186,286,1943.0,71.6279144287,71.625,-107.99041748,-108.375,35.0,73,14017798144.0
1188,288,0.0,71.6104202271,71.625,-107.787078857,-107.875,35.0,73,14017798144.0
1208,346,0.0,71.5370864868,71.625,-93.3679122925,-93.375,10.0,73,2622488320.0
1215,381,5830.0,71.6387481689,71.625,-84.5512466431,-84.625,24.0,73,5012670976.0
1218,418,1944.0,71.5095825195,71.625,-75.3779144287,-75.375,10.0,73,1824582272.0
1234,930,9714.0,71.717918396,71.625,52.5404167175,52.625,10.0,73,1172213248.0
1235,931,1944.0,71.5979156494,71.625,52.6162528992,52.875,10.0,73,1172213248.0
1238,942,1944.0,71.5587463379,71.625,55.7037506104,55.625,14.0,73,2149088000.0
1239,992,4346.0,71.6062469482,71.625,68.1937484741,68.125,15.0,73,2254732544.0
1240,993,0.0,71.6895828247,71.625,68.3320846558,68.375,10.0,73,1319601152.0
1241,1008,0.0,71.5637512207,71.625,72.0587463379,72.125,29.0,73,5007929856.0
1243,1020,0.0,71.5104141235,71.625,75.4720840454,75.125,10.0,73,1230169344.0
1244,1021,0.0,71.6170806885,71.625,75.4470825195,75.375,10.0,73,1230169344.0
1247,1045,3885.0,71.7095794678,71.625,81.4870834351,81.375,11.0,73,1228667776.0
1252,1053,0.0,71.7420806885,71.625,83.4012527466,83.375,16.0,73,1934243712.0
1265,1266,0.0,71.5187530518,71.625,136.632080078,136.625,243.0,73,2.31172849664e+11
1273,1316,0.0,71.6879196167,71.625,149.061248779,149.125,22.0,73,6562906112.0
1298,252,3894.0,71.2662506104,71.375,-116.787918091,-116.875,49.0,74,15913996288.0
1306,298,2755.0,71.1354141235,71.375,-104.652084351,-105.375,15.0,74,5307608576.0
1317,337,1946.0,71.2870864868,71.375,-95.5195846558,-95.625,11.0,74,2977735936.0
1324,363,1946.0,71.2945861816,71.375,-89.0370788574,-89.125,10.0,74,1156994304.0
1330,381,0.0,71.4362487793,71.375,-84.6420822144,-84.625,22.0,74,4437527552.0
1349,990,1945.0,71.4162521362,71.375,67.6012496948,67.625,18.0,74,3590264832.0
1350,993,3889.0,71.5395812988,71.375,68.0429153442,68.375,15.0,74,2254732544.0
1352,1008,3893.0,71.2870788574,71.375,72.0287475586,72.125,16.0,74,2281183232.0
1355,1021,3894.0,71.2737503052,71.375,75.4920806885,75.375,10.0,74,1154573824.0
1360,1053,1946.0,71.3404159546,71.375,83.3770828247,83.375,14.0,74,1316980992.0
1362,1056,1945.0,71.4562530518,71.375,83.4170837402,84.125,14.0,74,1316980992.0
1371,1271,0.0,71.2504196167,71.375,137.772079468,137.875,13.0,74,3109935872.0
1375,1280,0.0,71.4912490845,71.375,140.001251221,140.125,29.0,74,9286215680.0
1377,1322,0.0,71.3887481689,71.375,150.698745728,150.625,372.0,74,3.43529127936e+11
