grdc_id,river,station,country,lat_org,lon_org,area,altitude,ds_stat_no,w_level,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,lta_discharge,combi_relerr,dist,dist_relerr,lat,lon,upa_local_max,upa_relerr,uparea,cmf_row,cmf_col,cmf_lon,cmf_lat
4213640,MISTAYA RIVER,NEAR SASKATCHEWAN CROSSING,CA,51.8844,-116.6881,249,-999,4213030,0,1950,2013,64,13.71,,,,,6.324,0.022382639,213.6239211,0.021362392,51.885,-116.69,1578.057983,0.024423132,245.9593201,152,254,-116.375,51.875
4213645,MONITOR CREEK,NEAR MONITOR,CA,51.9694,-110.575,1440,-999,4213290,0,1954,2013,60,31.9,,,,,0.133,0.035731045,219.0796357,0.021907964,51.975,-110.575,5797.035645,0.063377209,1394.368408,151,277,-110.625,52.125
4213650,ASSINIBOINE RIVER,HEADINGLEY,CA,49.8692,-97.4028,153000,230,4213681,0,1913,2014,102,0.02,1913,1995,83,0.1,52.196,0.041059168,245.1716233,0.024517162,49.87,-97.405,148018.3438,0.074143179,147328.0469,160,330,-97.375,49.875
4213660,MONNERY RIVER,NEAR PARADISE HILL,CA,53.5411,-109.5272,875,-999,4213300,0,1967,2015,49,43.1,,,,,0.511,0.054468231,343.8238234,0.034382382,53.545,-109.53,58029.4375,0.094639927,916.4049683,146,281,-109.625,53.375
4213665,MOOSEHILLS CREEK,NEAR ELK POINT,CA,53.9342,-110.7767,36.5,-999,4213280,0,1978,2009,32,32.29,,,,,0.004,0.056275247,562.8977239,0.056289772,53.945,-110.78,45978.56641,0.056246195,37.52649307,144,278,-110.375,53.875
4213670,MOSQUITO CREEK (TRIB. NELSON),NEAR THE MOUTH,CA,50.2556,-113.5542,838,-999,4213055,0,1982,2013,32,31.21,,,,,0.79,0.103033761,92.96953366,0.009296953,50.255,-113.555,2043.442139,0.290507376,959.7225952,158,265,-113.625,50.375
4213675,MOSSY RIVER,BELOW OUTLET OF DAUPHIN LAKE,CA,51.45,-99.9667,8700,-999,4213710,0,1936,2015,80,28.4,,,,,13.217,0.034241193,189.2431235,0.018924312,51.45,-99.965,9517.199219,0.064874955,8982.206055,154,320,-99.875,51.375
4213680,RED RIVER (OF THE NORTH),EMERSON,CA,49.0083,-97.2111,104000,230,4213683,0,1912,2015,104,0,1912,1995,84,0,125.85,0.084923311,154.1366324,0.015413663,49.015,-97.21,92630.03906,0.223942608,92354.98438,163,331,-97.125,49.125
4213681,RED RIVER (OF THE NORTH),NEAR LOCKPORT,CA,50.1078,-96.9317,278000,-999,4213710,0,1962,2008,47,2.41,,,,,250.715,0.052133336,212.5261301,0.021252613,50.115,-96.93,262900.2813,0.113894783,262168.625,159,332,-96.875,50.125
4213682,RED RIVER (OF THE NORTH),NEAR ST. NORBERT,CA,49.7861,-97.1369,122000,-999,4213681,0,1967,2015,49,89.49,,,,,0,0.074193922,212.0533152,0.021205332,49.785,-97.135,111100.0313,0.180171102,111009.5625,159,331,-97.125,50.125
4213683,RED RIVER (OF THE NORTH),NEAR STE. AGATHE,CA,49.5536,-97.1847,115000,-999,4213682,0,1958,2015,58,1.29,,,,,193.348,0.061930416,95.15871429,0.009515871,49.56,-97.185,107500.7578,0.166759506,105411.3281,161,331,-97.125,49.625
4213690,ROSEAU RIVER,NEAR DOMINION CITY,CA,49.1886,-96.9961,5150,242,4213683,0,1913,2014,102,15.27,1913,1995,83,12.35,10.503,0.025734942,150.0781046,0.01500781,49.195,-96.995,5473.228027,0.047189206,5271.512207,163,332,-96.875,49.125
4213700,TAYLOR RIVER,NEAR THOMPSON,CA,55.4889,-98.1861,883,229,4213720,0,1970,2015,46,5.46,1970,1995,26,4.62,4.775,0.027822653,156.0187892,0.015601879,55.495,-98.185,923.2592163,0.052264202,906.074646,138,327,-98.125,55.375
4213710,NELSON RIVER,ABOVE BLADDER RAPIDS,CA,54.775,-97.9306,1000000,190,4213720,0,1958,1994,37,2.33,1958,1994,37,2.33,2236.123,0.055774147,239.8653298,0.023986533,54.76,-97.93,940601.9375,0.119349375,940325.3125,140,328,-97.875,54.875
4213711,NELSON RIVER,LONG SPRUCE GENERATING STATION,CA,56.3975,-94.3694,1060000,-999,0,0,1987,2014,28,0.01,,,,,3455.769,0.047344644,92.23687843,0.009223688,56.405,-94.37,995116.6875,0.123586558,994499.125,134,342,-94.375,56.375
4213712,NELSON RIVER,KETTLE GENERATING STATION,CA,56.3803,-94.6339,1060000,-999,4213711,0,1987,2014,28,0.01,,,,,3447.414,0.050678898,129.5431602,0.012954316,56.385,-94.635,994399.6875,0.126128063,993152.125,134,341,-94.625,56.375
4213715,KETTLE RIVER (TRIB. NELSON),NEAR GILLAM,CA,56.3444,-94.6833,1090,-999,4213712,0,1963,2015,53,4.2,,,,,13.285,0.042507545,189.3217214,0.018932172,56.345,-94.685,994375.75,0.08965829,1138.86377,134,341,-94.625,56.375
4213720,NELSON RIVER,AT KELSEY GENERATING STATION,CA,56.0389,-96.525,1010000,-999,4213712,0,1960,2014,55,0.01,1960,1993,34,0,2310.378,0.076752952,558.7812725,0.055878127,56.035,-96.53,966368.875,0.118502602,950156.1875,135,333,-96.625,56.125
4213730,GUNISAO RIVER,JAM RAPIDS,CA,53.7861,-97.6722,4400,219,4213710,0,1971,2014,44,4.34,1971,1995,25,9.15,18.615,0.048190614,245.4477552,0.024544776,53.785,-97.67,4747.013184,0.09548229,4610.061035,144,329,-97.625,53.875
4213740,POPLAR RIVER (TRIB. NELSON),OUTLET OF WEAVER LAKE,CA,52.7778,-96.7528,6790,236,4213710,0,1967,1996,30,0,1967,1995,29,0,32.558,0.018580962,246.5906968,0.02465907,52.78,-96.755,6942.50293,0.006424746,6768.187988,148,332,-96.875,52.875
4213750,BLACK RIVER (TRIB. NELSON),NEAR MANIGOTAGAN,CA,50.8617,-96.2528,712,236,4213710,0,1960,1992,33,0.27,1960,1992,33,0.52,3.336,0.054657844,248.1508297,0.024815083,50.865,-96.255,1084.292236,0.114343368,752.7062378,156,333,-96.625,50.875
4213760,MUSKEG CREEK,NEAR WESTEROSE,CA,52.8683,-113.9575,91.7,-999,4213180,0,1982,1990,9,42.29,,,,,0,0.055415421,288.7139372,0.028871394,52.87,-113.96,743.1613159,0.108503476,86.72511292,149,264,-113.875,52.625
4213765,NORDEGG RIVER,SUNCHILD ROAD,CA,52.8203,-115.5194,875,-999,4213031,0,1971,2012,42,0,,,,,4.988,0.021158248,68.32377397,0.006832377,52.82,-115.52,1074.079224,0.049809989,853.2081299,148,259,-115.125,52.875
4213770,BROKENHEAD RIVER,NEAR BEAUSEJOUR,CA,50.0903,-96.4294,1580,230,4213681,0,1942,2014,73,16.22,1942,1995,54,12.29,3.688,0.056910072,66.89629088,0.006689629,50.09,-96.43,1875.168701,0.157350957,1455.692749,158,334,-96.375,50.375
4213780,WHITEMOUTH RIVER,NEAR WHITEMOUTH,CA,49.9389,-95.9556,3700,271,4213801,0,1942,2014,73,6.55,1942,1995,54,10.11,14.673,0.006923069,80.56095807,0.008056096,49.935,-95.955,3925.179199,0.004657015,3708.615479,160,335,-96.125,49.875
4213790,RAT RIVER (TRIB. NELSON),NEAR SUNDOWN,CA,49.2097,-96.2833,414,319,4213682,0,1960,2015,56,16.49,1960,1995,36,0,1.24,0.025970125,189.2784178,0.018927842,49.21,-96.285,527.0263062,0.04005469,422.2913208,162,332,-96.875,49.375
4213795,SPRAGUE CREEK,NEAR SPRAGUE,CA,48.99,-95.66,455,-999,4213690,0,1928,1981,54,7.56,1928,1981,54,7.98,1.621,0.013266812,109.7889009,0.01097889,49,-95.66,532.791748,0.017842656,459.0592041,164,336,-95.875,48.875
4213800,WINNIPEG RIVER,SLAVE FALLS,CA,50.225,-95.5708,126000,280,4213801,0,1907,2014,108,1.88,1907,1995,89,0,873.594,0.009441876,89.05559594,0.00890556,50.225,-95.57,125568.2031,0.010514509,125337.5859,159,337,-95.625,50.125
4213801,WINNIPEG RIVER,MCARTHUR GENERATING STATION,CA,50.3981,-95.9972,134000,-999,4213802,0,1987,2014,28,0,,,,,1013.681,0.019202013,245.8975025,0.02458975,50.4,-95.995,134862.875,0.00842654,134564.5781,158,335,-96.125,50.375
4213802,WINNIPEG RIVER,PINE FALLS GENERATING STATION,CA,50.5675,-96.1775,136000,-999,4213710,0,1987,2014,28,0.01,,,,,999.357,0.019004833,279.9047519,0.027990475,50.57,-96.175,136194.5313,0.001033548,136070.2813,157,335,-96.125,50.625
4213804,WINNIPEG RIVER,BELOW LAKE OF THE WOODS OUTLETS,CA,49.7833,-94.5139,70400,-999,4213803,0,1892,2006,115,0,,,,,432.895,0.016021014,123.3541,0.01233541,49.785,-94.515,70465.6875,0.023392223,69576.59375,159,341,-94.625,50.125
4213810,ODEI RIVER,NEAR THOMPSON,CA,55.9958,-97.3564,6130,-999,4213720,0,1979,2015,37,1.01,,,,,33.952,0.025669938,334.9138203,0.033491382,55.975,-97.355,13436.27441,0.010027051,6099.26709,136,331,-97.125,55.875
4213815,OVERFLOWING RIVER,OVERFLOWING RIVER,CA,53.1542,-101.1083,3350,-999,4213710,0,1954,2015,62,33.33,,,,,13.506,0.018501691,209.5908613,0.020959086,53.15,-101.11,3824.294434,0.013586899,3327.241943,147,315,-101.125,53.125
4213820,PIPESTONE RIVER (TRIB. NELSON),NEAR LAKE LOUISE,CA,51.4339,-116.1722,306,-999,4213040,0,1911,2014,104,59.31,,,,,5.873,0.023325345,316.339767,0.031633977,51.435,-116.175,943.1185913,0.006708083,304.9736633,154,255,-116.125,51.375
4213825,POINTE-AUX-PINS CREEK,NEAR ARDROSSAN,CA,53.5994,-113.1636,106,-999,4213280,0,1979,2013,35,34.73,,,,,0.058,0.04973079,158.0464872,0.015804649,53.6,-113.165,28765.7207,0.117583074,99.76809692,145,267,-113.125,53.625
4213830,POTHOLE CREEK,RUSSELL'S RANCH,CA,49.5644,-112.8278,772,-999,4213111,0,1919,2015,97,46.69,,,,,0,0.039992951,312.769716,0.031276972,49.565,-112.825,16779.66992,0.05742491,794.1660156,161,268,-112.875,49.625
4213835,RAM RIVER,NEAR THE MOUTH,CA,52.3653,-115.4258,1860,-999,4213033,0,1967,2013,47,5.88,,,,,14.897,0.022000933,241.6383751,0.024163838,52.37,-115.425,7452.456055,0.017675124,1876.437866,150,258,-115.375,52.375
4213840,WEIR RIVER,ABOVE THE MOUTH,CA,57.0258,-93.4483,2280,27,0,0,1977,2015,39,3.85,1977,1995,19,6.14,15.541,0.015546739,189.3189541,0.018931895,57.025,-93.45,2319.29248,0.008776427,2269.994873,131,346,-93.375,57.125
4213850,CEDAR RIVER (TRIB. NELSON),BELOW WABASKANG LAKE,CA,50.5083,-93.2583,1690,366,4213172,0,1970,2015,46,0,1970,1996,27,0,11.631,0.06371862,299.6001129,0.029960011,50.545,-93.26,1634.573242,0.131235838,1579.105713,157,346,-93.375,50.625
4213860,REDWATER RIVER,NEAR THE MOUTH,CA,53.8969,-112.9961,1550,-999,4213280,0,1978,2013,36,32.1,,,,,0.359,0.014043116,182.1232332,0.018212323,53.9,-112.995,37699.34766,0.0057047,1554.421143,143,268,-112.875,54.125
4213865,RENWICK CREEK,NEAR THREE HILLS,CA,51.7169,-113.3631,57.2,-999,4213183,0,1967,2013,47,41.02,,,,,0.027,0.020868522,251.9206475,0.025192065,51.72,-113.365,884.9593506,0.012221436,57.54953384,153,266,-113.375,51.625
4213870,RIBSTONE CREEK,NEAR EDGERTON,CA,52.755,-110.4833,2810,-999,4213183,0,1924,2013,90,55.44,,,,,0.303,0.135470322,189.2431235,0.018924312,52.755,-110.485,2589.990234,0.368562341,2292.169922,149,279,-110.125,52.625
4213875,ROSE CREEK (TRIB. NELSON),NEAR ALDER FLATS,CA,52.93,-115.01,551,-999,4213031,0,1972,2013,42,31.66,,,,,2.002,0.030559727,235.3162867,0.023531629,52.925,-115.01,648.979126,0.044615924,538.708313,147,259,-115.125,53.125
4213880,TURTLE RIVER,NEAR MINE CENTRE,CA,48.85,-92.725,4870,363,4213210,0,1914,2015,102,2.75,1914,1996,83,3.54,38.429,0.030736119,0,0,48.85,-92.725,5880.911133,0.092208356,4645.472656,164,349,-92.625,48.875
4213890,NAMAKAN RIVER,OUTLET OF LAC LA CROIX,CA,48.3833,-92.1778,13400,-999,4213210,0,1921,2015,95,0.17,1921,1996,76,0.22,106.941,0.03293965,272.6234829,0.027262348,48.355,-92.18,13176.05566,0.044294253,13103.22852,166,351,-92.125,48.375
4213900,ROSEBUD RIVER,REDLAND,CA,51.2933,-113.0106,3580,-999,4213250,0,1951,2015,65,36.25,,,,,1.868,0.031025408,299.0995228,0.029909952,51.3,-113.01,3771.311035,0.033256318,3520.471191,154,267,-113.125,51.375
4213905,SEINE RIVER,STURGEON FALLS GENERATING STATION,CA,48.7444,-92.2847,5880,-999,4213210,0,1963,2014,52,0.13,,,,,45.222,0.016195368,33.50187744,0.003350188,48.745,-92.285,6030.900879,0.04188573,6003.144043,165,350,-92.375,48.625
4213910,ENGLISH RIVER,UMFREVILLE,CA,49.875,-91.4583,6230,398,4213911,0,1921,2015,95,0,1921,1996,76,0,58.727,0.177294638,2420.727635,0.242072763,49.82,-91.48,6946.462891,0.047738388,6081.294922,160,354,-91.375,49.875
4213911,ENGLISH RIVER,EAR FALLS,CA,50.6333,-93.2083,26400,-999,4213172,0,1907,1994,88,0.19,,,,,217.052,0.024045772,202.8030647,0.020280306,50.645,-93.21,26139.42578,0.031576704,25983.1875,157,347,-93.125,50.625
4213920,SILVERHORN CREEK,NEAR THE MOUTH,CA,51.8,-116.5831,20.7,-999,4213030,0,1971,2013,43,0.52,,,,,0.436,0.069121743,935.4473433,0.093544734,51.805,-116.575,239.8413544,0.02027576,20.49014664,152,254,-116.375,51.875
4213925,SPRAY RIVER,BANFF,CA,51.1597,-115.5544,749,-999,4213045,0,1910,2014,105,0.09,,,,,7.419,0.008391289,68.32760788,0.006832761,51.16,-115.555,3955.371338,0.011508346,744.6901245,155,257,-115.625,51.125
4213930,STRAWBERRY CREEK,NEAR THE MOUTH,CA,53.3114,-114.0506,584,-999,4213031,0,1966,2012,47,32.31,,,,,1.18,0.03491318,516.3222683,0.051632227,53.315,-114.055,26123.45508,0.001475086,583.5692749,146,263,-114.125,53.375
4213935,TORCH RIVER,NEAR LOVE,CA,53.5875,-104.1611,4650,-999,4213552,0,1950,2015,66,20.84,,,,,8.382,0.025401797,140.105831,0.014010583,53.585,-104.16,4867.572754,0.048184223,4762.02832,145,303,-104.125,53.625
4213940,TROUT CREEK,NEAR GRANUM,CA,49.9764,-113.6853,440,-999,4213091,0,1908,2013,106,69.32,,,,,0.531,0.00983376,70.95583065,0.007095583,49.975,-113.685,1943.066772,0.015310114,436.6317749,160,265,-113.625,49.875
4213945,TROUTLAKE RIVER,ABOVE BIG FALLS,CA,50.9083,-93.1,2370,-999,4213415,0,1970,2015,46,0.01,,,,,17.62,0.026822543,281.1352016,0.02811352,50.955,-93.1,2819.895996,0.024240589,2398.725098,156,347,-93.125,50.875
4213950,VALLEY RIVER,NEAR DAUPHIN,CA,51.2792,-100.0108,2880,-999,4213675,0,1948,2015,68,33.2,,,,,0,0.022397395,143.272092,0.014327209,51.285,-100.01,2993.199463,0.038537767,2935.494385,154,319,-100.125,51.375
4213955,WABIGOON RIVER,DRYDEN,CA,49.8292,-92.8708,2300,-999,4213956,0,1970,2014,45,0.04,,,,,14.893,0.037165973,119.151034,0.011915103,49.815,-92.87,2941.128174,0.087667711,2400.817871,160,348,-92.875,49.875
4213956,WABIGOON RIVER,NEAR QUIBELL,CA,49.9556,-93.3972,6370,-999,4213172,0,1953,2015,63,0,,,,,45.835,0.027693623,254.6831546,0.025468315,49.945,-93.395,6851.754395,0.032144237,6472.379395,160,346,-93.375,49.875
4213960,WASKATENAU CREEK,NEAR WASKATENAU,CA,54.1231,-112.7828,312,-999,4213280,0,1966,2013,48,32.77,,,,,0.156,0.292018372,3114.393775,0.311439377,54.14,-112.81,39271.73047,0.253176361,351.4955139,143,268,-112.875,54.125
4213970,WEILLER CREEK,NEAR WETASKIWIN,CA,52.9578,-113.2792,235,-999,4213180,0,1985,2012,28,31.53,,,,,0.124,0.13656463,131.5265493,0.013152655,52.96,-113.28,4206.740723,0.383388579,280.0481567,148,267,-113.125,52.875
