index,rivmth_idx,dist2coast,cmf_lat_15min,cmf_lon_15min,rivwth,uparea,gtsm_lon,gtsm_lat,dist,gtsm_idx,gtsm_station_id,rivmth_lon,rivmth_lat,gtsm_egm_offset,lon,lat,rivhgt,elevtn
107,4842,2069.830556,60.125000,-144.125000,11,1226.405640,-144.199200,60.026040,21251,6221,diva_id__5753,-144.202911,60.217083,0.450000,-144.202911,60.217083,2.000000,0.000000
108,1815,1958.360622,70.125000,-143.375000,10,2413.693115,-143.144500,70.130210,6719,4725,diva_id__4257,-143.294586,70.097916,0.114000,-143.294586,70.097916,2.000000,0.000000
109,4844,0.000000,60.125000,-143.375000,10,1786.743896,-144.199200,60.026040,40402,6221,diva_id__5753,-143.473755,60.052082,0.450000,-143.473755,60.052082,2.000000,0.000000
110,1935,1960.823424,69.875000,-142.625000,10,1622.861572,-141.503900,69.713540,28623,4726,diva_id__4258,-142.152924,69.839584,0.101000,-142.152924,69.839584,2.000000,0.000000
111,4847,0.000000,60.125000,-142.625000,10,1342.786255,-142.089800,60.026040,25477,4773,diva_id__4305,-142.532089,60.087082,0.432000,-142.532089,60.087082,2.000000,0.000000
112,1937,1961.153486,69.875000,-142.125000,10,1708.510254,-141.503900,69.713540,23898,4726,diva_id__4258,-142.057083,69.811249,0.101000,-142.057083,69.811249,2.000000,0.000000
113,1938,1961.318671,69.875000,-141.875000,10,3835.072510,-141.503900,69.713540,17917,4726,diva_id__4258,-141.912918,69.790421,0.101000,-141.912918,69.790421,2.000000,0.000000
115,4849,0.000000,60.125000,-141.625000,10,1110.711182,-142.089800,60.026040,41308,4773,diva_id__4305,-141.378754,60.136250,0.432000,-141.378754,60.136250,2.000000,0.000000
117,4850,0.000000,60.125000,-141.375000,10,3068.090576,-142.089800,60.026040,45713,4773,diva_id__4305,-141.267914,60.011250,0.432000,-141.267914,60.011250,2.000000,0.000000
119,4934,0.000000,59.875000,-139.875000,10,1157.343628,-139.746100,59.557290,28338,468,yakutat,-139.980408,59.782917,0.404000,-139.980408,59.782917,2.000000,0.000000
120,2086,1963.808224,69.625000,-139.625000,10,1014.782288,-139.746100,69.609380,8497,4727,diva_id__4259,-139.612915,69.548752,0.068000,-139.612915,69.548752,2.000000,0.000000
121,4851,2071.914881,60.125000,-139.625000,10,2831.861328,-139.746100,59.557290,57808,468,yakutat,-139.507080,60.062916,0.404000,-139.507080,60.062916,2.000000,0.000000
122,2087,1963.808224,69.625000,-139.375000,16,6160.247070,-139.746100,69.609380,12608,4727,diva_id__4259,-139.477921,69.545418,0.068000,-139.477921,69.545418,2.000000,0.000000
