rivmth_id,lat,lon,rivwth,uparea,dist2coast,q_mean,couple_id,gtsm_egm_offset,surge_std,tidal_range
7053,52.10458374,-78.57791138,18,2511202816.0,0,4.703536,754,0.124,0.29537428527741433,0.7723635
7057,52.2579155,-9.74708271,10,1157113088.0,0,2.5653496,1436,-0.038,0.1596257057183441,3.4593346
7060,52.26625061,-7.028749466,22,5504143360.0,4347,53.984104,1482,-0.012,0.14685080918122848,3.0249162
7067,52.21208191,4.4004173280000005,10,1021279744.0,2174,8.412929,1649,0.04,0.30264439851273245,1.791484
7087,52.01208496,156.4845886,30,3760760064.0,2176,87.652534,3844,0.23199999999999998,0.11923027544657269,1.6370481
7118,51.80791473,-8.292082787,10,1262378240.0,0,2.6703417,1459,-0.026000000000000002,0.1450127690882476,2.562279
7119,51.90124893,-8.398749352000001,10,1262378240.0,2178,25.992876,1468,-0.026000000000000002,0.1450127690882476,2.562279
7121,51.98208237,-7.857916832000001,17,3246731008.0,0,59.11146,1474,-0.012,0.14685080918122848,3.0249162
7123,51.79708099,-4.347916603,10,1310280832.0,2179,32.624443,1522,-0.032,0.21938954870499905,5.681205
7127,51.95624924,4.151250838999999,218,163000000000.0,6159,2319.9324,1648,0.037000000000000005,0.2969204042097054,1.8469194
7145,51.83791733,143.20124819999998,42,7533401600.0,2179,102.88473,3706,0.23199999999999998,0.14234487612986124,0.86930066
7146,51.90958405,156.4929199,13,1805748480.0,0,45.943848,3845,0.23199999999999998,0.11923027544657269,1.6370481
7148,51.79541779,158.0279236,13,1748146048.0,2179,48.56631,3856,0.17800000000000002,0.12483624471024052,1.1777592
7171,51.59791565,-78.80874634,47,8090617856.0,0,123.2256,726,0.129,0.32608543029382187,1.8275555
7172,51.54291534,-78.81707764,47,8090617856.0,0,0.32803264,737,0.129,0.32608543029382187,1.8275555
7173,51.31708527,-58.03374481,15,1301315328.0,0,9.926377,1168,-0.127,0.1331711682830256,1.4026618
7174,51.42708206,-57.61457825,58,7149402112.0,0,1.9722843,1171,-0.127,0.1331711682830256,1.4026618
7177,51.65291595,-56.70207977,24,2567790592.0,3085,64.54662,1188,-0.183,0.12912159670398526,1.050656
7191,51.5620842,-2.973749161,10,1317558528.0,0,28.854841,1551,-0.019,0.21436263152510066,9.055951
7192,51.6170845,-2.660415649,20,4128641536.0,0,72.917435,1554,-0.019,0.22474554239949285,9.197778
7193,51.72124863,-2.491249084,32,10974804992.0,0,129.16713,1556,-0.019,0.22474554239949285,9.197778
7214,51.50708389,143.2754211,10,1070254272.0,2183,16.79517,3711,0.23199999999999998,0.14234487612986124,0.86930066
7215,51.5004158,156.49208069999997,10,1002652544.0,2183,26.789486,3846,0.23199999999999998,0.11923027544657269,1.6370481
7237,51.31874847,-80.45291138,358,108000000000.0,0,1142.0814,671,0.13699999999999998,0.3041653101443952,2.5134046
7239,51.25374985,-79.66708374,26,4238444800.0,3092,52.936954,703,0.138,0.3173915163209591,2.5619
7241,51.35041809,-78.83792114,105,21129181184.0,0,328.90695,727,0.129,0.32681974502017136,1.8275555
7242,51.48958206,-78.69291687,203,42080718848.0,0,751.6475,738,0.129,0.32608543029382187,1.8275555
7243,51.25624847,-58.68125153,53,6376286208.0,0,86.23932,1150,-0.11,0.1366623489549328,1.438376
