index,basin_idx,rivmth_idx,dist2coast,cmf_lat_15min,cmf_lon_15min,rivwth,uparea,gtsm_lon,gtsm_lat,dist,gtsm_idx,gtsm_station_id,rivmth_lon,rivmth_lat,gtsm_egm_offset,lon,lat,rivhgt,elevtn,elvp10,elvp90,elvavg,area_km,cell_count,mean_drain_length,mean_drain_slope
320,15352,15351,5645.960618,22.375000,-105.625000,10,5495.679199,-105.673800,22.005210,41015,5059,diva_id__4591,-105.633751,22.372084,0.628000,-105.633751,22.372084,2.000000,0.000000,4.921846,1234.600000,452.645812,5496.971840,9,235337.781250,0.007347
321,15562,15561,0.000000,21.625000,-105.375000,10,122304.820312,-105.439500,21.640630,339,16450,deltas_234,-105.442085,21.638750,0.619000,-105.442085,21.638750,2.000000,0.000000,590.294995,2049.200000,1524.347637,122332.276641,174,607481.047768,0.003219
322,15820,15819,0.000000,20.625000,-105.375000,10,12290.159180,-105.263700,20.651040,5332,5063,diva_id__4595,-105.292915,20.690416,0.627000,-105.292915,20.690416,2.000000,0.000000,67.800000,1282.800000,714.373119,12293.036725,17,164999.043945,0.007109
323,16008,16007,0.000000,19.875000,-105.375000,10,1967.511353,-105.087900,19.531250,45963,5065,diva_id__4597,-105.377083,19.842083,0.654000,-105.377083,19.842083,2.000000,0.000000,0.196831,24.196831,10.328052,1967.952160,3,42880.281250,0.000408
324,2392,2391,2783.181082,69.125000,-105.125000,10,1564.018066,-104.941400,68.567710,61805,6468,diva_id__6000,-105.002914,69.122917,0.112000,-105.002914,69.122917,2.000000,0.000000,11.392648,56.400000,33.839248,1565.306035,9,63383.796875,0.000727
325,15503,15502,2530.045466,21.875000,-105.125000,10,25651.707031,-105.498000,21.744790,626,16448,deltas_230,-105.497917,21.750416,0.619000,-105.497917,21.750416,2.000000,0.000000,260.096997,2107.497070,1421.895214,25657.712926,37,390403.190257,0.004424
327,16093,16092,0.000000,19.625000,-105.125000,10,2356.453369,-105.087900,19.531250,17673,5065,diva_id__4597,-105.212082,19.638750,0.654000,-105.212082,19.638750,2.000000,0.000000,0.260806,335.000000,153.717339,2356.952544,4,82899.863281,0.003658
328,2877,2876,0.000000,68.125000,-104.875000,13,3945.143555,-104.941400,68.359380,12237,4766,diva_id__4298,-104.922913,68.249580,0.112000,-104.922913,68.249580,2.000000,0.000000,40.474232,143.514999,89.942396,3948.393984,16,109294.444196,0.001121
329,16009,16008,2548.679421,19.875000,-104.875000,10,1073.887573,-105.087900,19.531250,20841,5065,diva_id__4597,-104.993752,19.366249,0.654000,-104.993752,19.366249,2.000000,0.000000,0.000000,0.000000,0.000000,1074.136960,1,10000.000000,0.000000
330,16162,16161,2549.046997,19.375000,-104.875000,10,1544.545044,-104.824200,19.218750,12281,5066,diva_id__4598,-104.902916,19.300417,0.645000,-104.902916,19.300417,2.000000,0.000000,60.600000,276.630991,186.582497,1544.922080,4,90121.257812,0.003144
331,16221,16220,0.000000,19.125000,-104.625000,10,2135.566650,-104.824200,19.218750,24484,5066,diva_id__4598,-104.602081,19.152082,0.645000,-104.602081,19.152082,2.000000,0.000000,5.248500,333.000000,167.873750,2136.086672,4,93640.140625,0.003491
333,16280,16279,0.000000,18.875000,-103.875000,10,9760.582031,-103.798800,18.723960,23763,5067,diva_id__4599,-103.967918,18.865416,0.639000,-103.967918,18.865416,2.000000,0.000000,189.800000,1368.548535,930.863570,9762.732152,15,154659.637277,0.008854
334,2115,2114,2775.362589,69.625000,-103.625000,10,1644.867920,-102.949200,69.348960,42708,6325,diva_id__5857,-103.507080,69.679581,0.073000,-103.507080,69.679581,2.000000,0.000000,8.954400,49.296001,30.809268,1646.315722,8,38925.205729,0.001017
335,16339,16338,0.000000,18.625000,-103.625000,10,7117.050293,-103.798800,18.723960,7713,5067,diva_id__4599,-103.736252,18.687916,0.639000,-103.736252,18.687916,2.000000,0.000000,78.745496,1135.700000,515.298999,7118.703072,10,95626.833594,0.004497
336,2116,2115,1962.146061,69.625000,-103.375000,11,3392.233887,-102.949200,69.348960,42576,6325,diva_id__5857,-103.295418,69.712082,0.073000,-103.295418,69.712082,2.000000,0.000000,14.370250,134.041844,69.061320,3396.326904,12,102416.975000,0.000871
