couple_id,rivmth_idx,cmf_col_15min,dist2coast,cmf_lat_15min,cmf_lon_15min,rivwth,cmf_row_15min,uparea,gtsm_lon,gtsm_lat,dist,gtsm_idx,gtsm_station_id,rivmth_lon,rivmth_lat,gtsm_egm_offset,lon,lat
70,1584,81,0.0,70.625,-159.625,10.0,77,1201230592.0,-158.1445,70.80729000000001,42510.20187368307,1133,diva_id__662,-159.286254883,70.7387466431,-0.01,-159.286254883,70.7387466431
71,1585,82,0.0,70.625,-159.375,10.0,77,1201230592.0,-158.1445,70.80729000000001,58546.72650029447,1133,diva_id__662,-159.460418701,70.5120849609,-0.01,-159.460418701,70.5120849609
72,5198,84,2952.0,58.875,-158.875,10.0,124,1477718272.0,-158.3789,58.72396,32322.701414957417,4743,diva_id__4275,-158.925415039,58.7879180908,0.506,-158.925415039,58.7879180908
73,5116,85,0.0,59.125,-158.625,11.0,123,3399295232.0,-158.3789,58.72396,47635.92558954461,4743,diva_id__4275,-158.517089844,59.1462478638,0.506,-158.517089844,59.1462478638
74,5199,85,0.0,58.875,-158.625,10.0,124,1174223360.0,-158.3789,58.72396,29687.6629543291,4743,diva_id__4275,-158.74458313,58.9120826721,0.506,-158.74458313,58.9120826721
75,5811,85,2120.0,56.375,-158.625,10.0,134,1663611392.0,-158.7305,55.85938,46596.87320215828,6193,diva_id__5725,-158.65625,56.27624893189999,0.422,-158.65625,56.27624893189999
76,5201,87,0.0,58.875,-158.125,74.0,124,30163863552.0,-158.3789,58.72396,29201.14504184989,4743,diva_id__4275,-158.018753052,58.908752441400004,0.506,-158.018753052,58.908752441400004
77,5202,88,0.0,58.875,-157.875,74.0,124,30163863552.0,-158.3789,58.72396,28011.267095036743,4743,diva_id__4275,-158.062911987,58.9154167175,0.506,-158.062911987,58.9154167175
78,5578,89,0.0,57.375,-157.625,10.0,130,1737568256.0,-157.6758,57.57813,10049.199835550016,4744,diva_id__4276,-157.651245117,57.488750457799995,0.497,-157.651245117,57.488750457799995
79,5579,90,0.0,57.375,-157.375,10.0,130,2992308736.0,-157.6758,57.57813,18491.26761042155,4744,diva_id__4276,-157.40625,57.496250152600005,0.497,-157.40625,57.496250152600005
80,5580,91,0.0,57.375,-157.125,10.0,130,1737568256.0,-157.6758,57.57813,14756.956539278288,4744,diva_id__4276,-157.512084961,57.4787521362,0.497,-157.512084961,57.4787521362
81,1480,92,1950.0,70.875,-156.875,24.0,76,11122224128.0,-158.1445,70.80729000000001,73409.38982746827,1133,diva_id__662,-156.157089233,70.9120864868,-0.01,-156.157089233,70.9120864868
82,1481,95,9949.0,70.875,-156.125,24.0,76,11122224128.0,-158.1445,70.80729000000001,74382.63835154127,1133,diva_id__662,-156.11041259799998,70.8329162598,-0.01,-156.11041259799998,70.8329162598
83,1696,110,0.0,70.375,-152.375,10.0,78,3622667008.0,-151.8164,70.70313,30110.84243703472,4720,diva_id__4252,-151.97958374,70.4379196167,0.082,-151.97958374,70.4379196167
84,4655,113,0.0,60.875,-151.625,27.0,116,4648784384.0,-151.2305,60.75521,32394.465217261328,4765,diva_id__4297,-151.732910156,60.9129180908,0.402,-151.732910156,60.9129180908
85,1697,114,2765.0,70.375,-151.375,10.0,78,4397912576.0,-151.8164,70.70313,42643.91507927836,4720,diva_id__4252,-151.28125,70.3637466431,0.082,-151.28125,70.3637466431
86,4773,114,0.0,60.375,-151.375,13.0,118,2243270144.0,-151.2305,60.75521,42060.26217285614,4765,diva_id__4297,-151.30291748,60.378749847399995,0.402,-151.30291748,60.378749847399995
87,4656,115,0.0,60.875,-151.125,53.0,116,5950314496.0,-151.2305,60.75521,10659.662346951252,4765,diva_id__4297,-151.045410156,60.7870826721,0.402,-151.045410156,60.7870826721
88,4552,116,0.0,61.375,-150.875,17.0,114,2444493312.0,-150.6445,61.22396,9648.34711956593,4760,diva_id__4292,-150.824584961,61.2270812988,0.4,-150.824584961,61.2270812988
89,4596,116,0.0,61.125,-150.875,17.0,115,2444493312.0,-150.6445,61.22396,16782.232359833495,4760,diva_id__4292,-150.956253052,61.2087478638,0.4,-150.956253052,61.2087478638
90,4923,116,4640.0,59.875,-150.875,12.0,120,1069444224.0,-151.2305,59.60938,26002.001445356746,4767,diva_id__4299,-150.95208740200002,59.7962493896,0.421,-150.95208740200002,59.7962493896
91,4553,117,0.0,61.375,-150.625,164.0,114,51629682688.0,-150.6445,61.22396,9477.586468012252,4760,diva_id__4292,-150.573745728,61.3020820618,0.4,-150.573745728,61.3020820618
92,1700,118,1955.0,70.375,-150.375,142.0,78,59370856448.0,-151.8164,70.70313,60515.99112758071,4720,diva_id__4252,-150.433746338,70.4129180908,0.082,-150.433746338,70.4129180908
93,4554,119,0.0,61.375,-150.125,164.0,114,51362586624.0,-150.0586,61.22396,13774.53592859947,4761,diva_id__4293,-150.30708313,61.2562484741,0.405,-150.30708313,61.2562484741
94,4557,122,0.0,61.375,-149.375,69.0,114,8698237952.0,-149.4141,60.885419999999996,68480.73253753812,4764,diva_id__4296,-149.284576416,61.497917175299996,0.405,-149.284576416,61.497917175299996
95,1704,124,5866.0,70.375,-148.875,22.0,78,9026812928.0,-148.5352,70.44270999999999,17353.155031758506,338,prudhoe_bay,-148.962921143,70.3812484741,0.091,-148.962921143,70.3812484741
96,4601,124,0.0,61.125,-148.875,69.0,115,8698237952.0,-149.4141,60.885419999999996,65429.32559597434,4764,diva_id__4296,-149.352920532,61.472915649399994,0.405,-149.352920532,61.472915649399994
97,1801,128,2767.0,70.125,-147.875,31.0,79,13283323904.0,-148.3008,70.44270999999999,29286.10272790349,4722,diva_id__4254,-147.831253052,70.2320861816,0.089,-147.831253052,70.2320861816
98,1802,129,1957.0,70.125,-147.625,10.0,79,1528853248.0,-148.3008,70.44270999999999,36508.03436910275,4722,diva_id__4254,-147.648742676,70.1987533569,0.089,-147.648742676,70.1987533569
99,1803,130,1957.0,70.125,-147.375,10.0,79,4167618048.0,-148.3008,70.44270999999999,47049.39109398283,4722,diva_id__4254,-147.323745728,70.1770858765,0.089,-147.323745728,70.1770858765
100,1808,135,1957.0,70.125,-146.125,10.0,79,5309511680.0,-144.9023,69.97395999999999,46443.80912080635,1135,diva_id__664,-146.01541137700002,70.1479187012,0.109,-146.01541137700002,70.1479187012
101,1809,137,1958.0,70.125,-145.625,10.0,79,1383265920.0,-144.9023,69.97395999999999,27354.88700036387,1135,diva_id__664,-145.58291626,70.0537490845,0.109,-145.58291626,70.0537490845
102,4779,140,0.0,60.375,-144.875,168.0,118,64767254528.0,-144.7852,60.44271,8182.846498336601,4772,diva_id__4304,-144.911254883,60.482082366899995,0.469,-144.911254883,60.482082366899995
103,1811,142,1959.0,70.125,-144.375,10.0,79,1858768256.0,-144.9023,69.97395999999999,19759.32139475695,1135,diva_id__664,-144.403747559,70.02375030520001,0.109,-144.403747559,70.02375030520001
104,1933,142,0.0,69.875,-144.375,10.0,80,3184898560.0,-144.9023,69.97395999999999,28211.05113097119,1135,diva_id__664,-144.18208313,70.0345840454,0.109,-144.18208313,70.0345840454
105,4781,142,4622.0,60.375,-144.375,168.0,118,64767254528.0,-144.7852,60.44271,1796.7818926133968,4772,diva_id__4304,-144.752914429,60.4454154968,0.469,-144.752914429,60.4454154968
