index,rivmth_idx,dist2coast,cmf_lat_15min,cmf_lon_15min,gtsm_lon,gtsm_lat,dist,gtsm_idx,gtsm_station_id,rivmth_lon,rivmth_lat,gtsm_egm_offset,lon,lat
274,827,0.000000,72.625000,-111.625000,-111.210900,72.421880,16598,6315,diva_id__5847,-111.702911,72.408752,-0.074000,-111.702911,72.408752
276,3130,0.000000,67.375000,-111.625000,-111.503900,67.786460,12240,1140,diva_id__669,-111.777916,67.749580,-0.072000,-111.777916,67.749580
293,3055,0.000000,67.625000,-109.375000,-109.160200,67.734380,29751,4753,diva_id__4285,-108.976250,67.476250,-0.061000,-108.976250,67.476250
308,932,5814.000000,72.375000,-107.375000,-107.460900,71.796880,50821,1473,diva_id__1002,-107.742920,72.245415,0.059000,-107.742920,72.245415
314,2964,1977.000000,67.875000,-106.625000,-107.285200,68.098960,29161,4756,diva_id__4288,-106.607910,68.170418,0.099000,-106.607910,68.170418
317,15088,0.000000,23.125000,-106.125000,-105.849600,22.682290,25572,5058,diva_id__4590,-106.027084,22.843750,0.632000,-106.027084,22.843750
319,15258,5645.000000,22.625000,-105.625000,-105.849600,22.682290,40055,5058,diva_id__4590,-105.641251,22.377916,0.632000,-105.641251,22.377916
326,15892,0.000000,20.375000,-105.125000,-105.263700,20.598960,2915,350,puerto_vallarta,-105.237083,20.607082,0.627000,-105.237083,20.607082
332,16162,0.000000,19.375000,-104.375000,-104.824200,19.218750,14934,5066,diva_id__4598,-104.683746,19.197916,0.645000,-104.683746,19.197916
337,16339,0.000000,18.625000,-103.375000,-103.652300,18.593750,8709,5068,diva_id__4600,-103.606247,18.528749,0.638000,-103.606247,18.528749
340,16422,0.000000,18.375000,-102.625000,-102.451200,17.994790,12009,5071,diva_id__4603,-102.557083,18.033749,0.635000,-102.557083,18.033749
341,16512,0.000000,18.125000,-102.375000,-102.451200,17.994790,10110,5071,diva_id__4603,-102.538750,18.031250,0.635000,-102.538750,18.031250
342,16513,0.000000,18.125000,-102.125000,-102.099600,17.994790,7369,5072,diva_id__4604,-102.030418,17.987083,0.643000,-102.030418,17.987083
351,16728,0.000000,16.875000,-99.875000,-99.638670,16.692710,1735,1209,diva_id__738,-99.622917,16.688749,0.731000,-99.622917,16.688749
354,728,0.000000,72.875000,-98.875000,-98.085940,73.098960,26269,6480,diva_id__6012,-98.412079,72.882919,-0.071000,-98.412079,72.882919
361,14788,7533.000000,24.125000,-98.125000,-97.646480,24.609380,71384,1387,diva_id__916,-97.777084,23.978750,0.240000,-97.777084,23.978750
375,14314,2497.000000,25.625000,-97.625000,-97.119140,25.963540,56904,16430,deltas_196,-97.292084,25.476250,0.239000,-97.292084,25.476250
376,13532,0.000000,28.125000,-97.375000,-97.001950,27.942710,26215,364,rockport,-97.176254,28.121250,0.221000,-97.176254,28.121250
379,14315,0.000000,25.625000,-97.375000,-97.119140,25.963540,20735,16430,deltas_196,-97.157913,25.780415,0.239000,-97.157913,25.780415
382,13450,2470.000000,28.375000,-97.125000,-96.767580,28.151040,19720,5884,diva_id__5416,-96.914581,28.272083,0.216000,-96.914581,28.272083
393,2403,0.000000,69.125000,-96.375000,-95.683590,69.192710,23850,6517,diva_id__6049,-96.192085,69.077919,0.029000,-96.192085,69.077919
413,2985,0.000000,67.875000,-94.875000,-95.449220,67.630210,53799,4776,diva_id__4308,-94.762917,68.038750,0.034000,-94.762917,68.038750
421,16772,0.000000,16.625000,-94.625000,-94.716800,16.328130,17112,5085,diva_id__4617,-94.839584,16.427082,0.608000,-94.839584,16.427082
436,1729,0.000000,70.375000,-93.125000,-91.933590,70.390630,21677,4784,diva_id__4316,-92.332916,70.249580,-0.107000,-92.332916,70.249580
438,5598,0.000000,57.375000,-93.125000,-92.519530,57.578130,42538,4930,diva_id__4462,-92.481247,57.196251,-0.025000,-92.481247,57.196251
447,5599,0.000000,57.375000,-92.625000,-92.519530,57.578130,39251,4930,diva_id__4462,-92.452911,57.227081,-0.025000,-92.452911,57.227081
454,5716,0.000000,56.875000,-92.375000,-92.519530,57.578130,64709,4930,diva_id__4462,-92.223747,57.018749,-0.025000,-92.223747,57.018749
458,12914,0.000000,30.125000,-91.875000,-92.080080,29.765630,17859,6846,diva_id__6378,-91.908752,29.826250,0.243000,-91.908752,29.826250
464,5717,0.000000,56.875000,-91.625000,-92.519530,57.578130,71316,4930,diva_id__4462,-91.677917,57.125416,-0.025000,-91.677917,57.125416
466,17077,0.000000,14.375000,-91.625000,-91.611330,14.088540,6969,5094,diva_id__4626,-91.662918,14.126249,0.687000,-91.662918,14.126249
470,2683,0.000000,68.625000,-91.125000,-90.527340,68.723960,9200,4786,diva_id__4318,-90.527084,68.641251,-0.091000,-90.527084,68.641251
