id,col_15min,dist2coast,lat,lat_15min,lon,lon_15min,rivwth,row_15min,uparea,rivhgt,elevtn
1317,337,1946.858430,71.287086,71.375000,-95.519585,-95.625000,11.207524,74,2977.735840,2.000000,0.000000
1324,363,1946.858430,71.294586,71.375000,-89.037079,-89.125000,10.000000,74,1156.994263,2.000000,0.000000
1330,381,0.000000,71.436249,71.375000,-84.642082,-84.625000,22.784616,74,4437.527344,2.000000,0.000000
1349,990,1945.769037,71.416252,71.375000,67.601250,67.625000,18.543848,74,3590.264893,2.000000,0.000000
1350,993,3889.060828,71.539581,71.375000,68.042915,68.375000,10.000000,74,1075.231812,2.000000,0.000000
1352,1008,3893.716860,71.287079,71.375000,72.028748,72.125000,16.314392,74,2281.183350,2.000000,0.000000
1355,1021,3894.028965,71.273750,71.375000,75.492081,75.375000,10.000000,74,1154.573853,2.000000,0.000000
1360,1053,1946.390908,71.340416,71.375000,83.377083,83.375000,14.672068,74,1316.980957,2.000000,0.000000
1371,1271,0.000000,71.250420,71.375000,137.772079,137.875000,13.774272,74,3109.935791,2.000000,0.000000
1375,1280,0.000000,71.491249,71.375000,140.001251,140.125000,29.091398,74,9286.215820,2.000000,0.000000
1377,1322,0.000000,71.388748,71.375000,150.698746,150.625000,372.692688,74,343529.125000,5.367226,0.000000
1397,301,0.000000,71.077080,71.125000,-104.582916,-104.625000,15.653102,75,5307.608398,2.000000,0.000000
1404,368,1947.326909,71.246246,71.125000,-87.816246,-87.875000,10.000000,75,1890.741699,2.000000,0.000000
1409,375,0.000000,71.110420,71.125000,-86.212082,-86.125000,10.000000,75,1094.532104,2.000000,0.000000
1414,380,0.000000,71.035416,71.125000,-84.992081,-84.875000,10.000000,75,1045.819946,2.000000,0.000000
1415,381,0.000000,71.222084,71.125000,-84.652916,-84.625000,10.000000,75,1112.081421,2.000000,0.000000
1436,936,1948.109822,71.152084,71.125000,54.212917,54.125000,10.000000,75,1211.115601,2.000000,0.000000
1441,1009,1948.109822,71.152084,71.125000,72.495415,72.375000,22.801834,75,3507.640137,2.000000,0.000000
1446,1024,5509.643169,71.177917,71.125000,76.156250,76.125000,22.955873,75,3664.120605,2.000000,0.000000
1447,1025,5843.859070,71.170418,71.125000,76.267914,76.375000,59.236355,75,11503.454102,2.012534,0.000000
1456,1049,1947.796338,71.196251,71.125000,82.252914,82.375000,12.446280,75,1332.599609,2.000000,0.000000
1459,1239,0.000000,71.134583,71.125000,129.802917,129.875000,10.000000,75,1697.364746,2.000000,0.000000
1460,1240,0.000000,71.089584,71.125000,130.032913,130.125000,34.641346,75,6177.182129,2.000000,0.000000
1461,1247,1947.639755,71.208748,71.125000,131.932083,131.875000,79.133217,75,38375.640625,2.348663,0.000000
1463,1272,1947.483280,71.227081,71.125000,138.187088,138.125000,52.800251,75,19078.431641,2.000000,0.000000
1466,1341,1949.367963,71.028748,71.125000,155.267090,155.375000,10.000000,75,3745.677246,2.000000,0.000000
1469,1346,0.000000,71.085419,71.125000,156.627075,156.625000,15.187670,75,6229.737793,2.000000,0.000000
1471,1351,1949.210326,71.033752,71.125000,157.758759,157.875000,13.099484,75,4661.514648,2.000000,0.000000
1480,92,1950.474342,70.912086,70.875000,-156.157089,-156.875000,10.000000,76,1624.808716,2.000000,0.000000
1481,95,9949.552308,70.832916,70.875000,-156.110413,-156.125000,24.224539,76,11122.224609,2.000000,0.000000
1482,96,4364.590791,70.759583,70.875000,-155.882919,-155.875000,10.000000,76,2803.469238,2.000000,0.000000
1487,102,1951.267745,70.822914,70.875000,-154.456253,-154.375000,37.884911,76,18041.062500,2.000000,0.000000
1500,304,0.000000,70.768753,70.875000,-103.941246,-103.875000,13.348414,76,4724.850586,2.000000,0.000000
1503,347,1950.632814,70.886253,70.875000,-93.012917,-93.125000,10.000000,76,1516.891602,2.000000,0.000000
1512,380,1950.474342,70.913750,70.875000,-84.901245,-84.875000,18.900366,76,2352.286377,2.000000,0.000000
1549,987,4359.978134,70.968750,70.875000,66.852921,66.875000,17.109228,76,3089.738037,2.000000,0.000000
1554,1032,3900.631948,70.928749,70.875000,78.136253,78.125000,18.100645,76,2000.269165,2.000000,0.000000
1555,1033,0.000000,70.931252,70.875000,78.403748,78.375000,36.987789,76,5551.295410,2.000000,0.000000
1556,1034,1950.632814,70.887085,70.875000,78.366249,78.625000,15.036582,76,1522.283203,2.000000,0.000000
1564,1245,2759.959160,70.787918,70.875000,131.422913,131.375000,21.328659,76,4373.650391,2.000000,0.000000
1566,1248,3898.105591,71.063751,70.875000,131.767914,132.125000,10.000000,76,1126.871094,2.000000,0.000000
1567,1327,1950.157712,70.947083,70.875000,151.881256,151.875000,20.999678,76,7883.482422,2.000000,0.000000
1569,1329,1951.108855,70.836250,70.875000,152.378754,152.375000,10.000000,76,1291.095825,2.000000,0.000000
1570,1331,1951.267745,70.818748,70.875000,152.883759,152.875000,20.420504,76,8233.800781,2.000000,0.000000
1571,1333,3902.535490,70.827919,70.875000,153.285416,153.375000,10.000000,76,3478.942871,2.000000,0.000000
1573,1335,2759.060055,70.859581,70.875000,153.852081,153.875000,119.941177,76,66534.328125,2.931878,0.000000
1584,81,0.000000,70.738747,70.625000,-159.286255,-159.625000,10.000000,77,1010.073486,2.000000,0.000000
1585,82,0.000000,70.512085,70.625000,-159.460419,-159.375000,10.000000,77,1201.230591,2.000000,0.000000
1608,269,1953.663507,70.572083,70.625000,-112.647079,-112.625000,12.462009,77,2762.897217,2.000000,0.000000
1618,337,5861.954077,70.533752,70.625000,-95.746246,-95.625000,10.000000,77,1234.011475,2.000000,0.000000
